AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Park, Sihwa']",Sihwa,female,"Birmingham, UK",2020,1,Collaborative Mobile Instruments in a Shared AR Space: a Case of ARLooper,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"['Schwarz, Diemo', 'Liu, Abby Wanyu', 'Bevilacqua, Frederic']",Diemo,male,"Birmingham, UK",2020,3,A Survey on the Use of 2D Touch Interfaces for Musical Expression,NIME,Abby,female,Frederic,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.81,0.99,,,,,,,,,,,,,,,
"['Renney, Harri L', 'Mitchell, Tom', 'Gaster, Benedict']",Harri,male,"Birmingham, UK",2020,3,There and Back Again: The Practicality of GPU Accelerated Digital Audio,NIME,Tom,male,Benedict,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.97,,,,,,,,,,,,,,,
"['Shaw, Tim', 'Bowers, John']",Tim,male,"Birmingham, UK",2020,2,Ambulation: Exploring Listening Technologies for an Extended Sound Walking Practice,NIME,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Xia, Gus', 'Chin, Daniel', 'Zhang, Yian', 'Zhang, Tianyu', 'Zhao, Junbo']",Gus,male,"Birmingham, UK",2020,5,Interactive Rainbow Score:  A Visual-centered Multimodal Flute Tutoring System,NIME,Daniel,male,Yian,male,Tianyu,male,Junbo,male,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.99,0.59,0.8,0.95,,,,,,,,,,,,,
"['Davanzo, Nicola', 'Avanzini, Federico']",Nicola,male,"Birmingham, UK",2020,2,A Dimension Space for the Evaluation of Accessible Digital Musical Instruments,NIME,Federico,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.99,,,,,,,,,,,,,,,,
"['Melbye, Adam Pultz', 'Ulfarsson, Halldor A']",Adam,male,"Birmingham, UK",2020,2,Sculpting the behaviour of the Feedback-Actuated Augmented Bass: Design strategies for subtle manipulations of string feedback using simple adaptive algorithms,NIME,Halldor,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,,,,,,,,,,,,,,,,
"['Le Vaillant, Gwendal', 'Dutoit, Thierry', 'Giot, Rudi']",Gwendal,male,"Birmingham, UK",2020,3,Analytic vs. holistic approaches for the live search of sound presets using graphical interpolation,NIME,Thierry,male,Rudi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.97,,,,,,,,,,,,,,,
"['Mitchusson, Chase']",Chase,male,"Birmingham, UK",2020,1,Indeterminate Sample Sequencing in Virtual Reality,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"['Fiebrink, Rebecca', 'Sonami, Laetitia']",Rebecca,female,"Birmingham, UK",2020,2,Reflections on Eight Years of Instrument Creation with Machine Learning,NIME,Laetitia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,,,,,,,,,,,,,,,,
"['Lucas, Alex', 'Ortiz, Miguel', 'Schroeder, Franziska']",Alex,male,"Birmingham, UK",2020,3,"The Longevity of Bespoke, Accessible Music Technology: A Case for Community",NIME,Miguel,male,Franziska,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.99,0.97,,,,,,,,,,,,,,,
"['Bukvic, Ivica I', 'Sardana, Disha', 'Joo, Woohun']",Ivica,male,"Birmingham, UK",2020,3,New Interfaces for Spatial Musical Expression,NIME,Disha,female,Woohun,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.84,0.0,,,,,,,,,,,,,,,
"['Durham, Mark']",Mark,male,"Birmingham, UK",2020,1,Inhabiting the Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Nash, Chris']",Chris,male,"Birmingham, UK",2020,1,Crowd-driven Music: Interactive and Generative Approaches using Machine Vision and Manhattan,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
"['Krzyzaniak, Michael J']",Michael,male,"Birmingham, UK",2020,1,Words to Music Synthesis,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Mclean, Alex']",Alex,male,"Birmingham, UK",2020,1,Algorithmic Pattern,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
"['McCallum, Louis', 'Grierson, Mick S']",Louis,male,"Birmingham, UK",2020,2,Supporting Interactive Machine Learning Approaches to Building Musical Instruments in the Browser,NIME,Mick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,,,,,,,,,,,,,,,,
"['Kirkegaard, Mathias S', 'Bredholt, Mathias', 'Frisson, Christian', 'Wanderley, Marcelo']",Mathias,male,"Birmingham, UK",2020,4,TorqueTuner: A self contained module for designing rotary haptic force feedback for digital musical instruments,NIME,Mathias,male,Christian,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Ford, Corey J', 'Nash, Chris']",Corey,male,"Birmingham, UK",2020,2,An Iterative Design ‘by proxy’ Method for Developing Educational Music Interfaces,NIME,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.9,,,,,,,,,,,,,,,,
"['Calegario, Filipe', 'Wanderley, Marcelo', 'Tragtenberg, João', 'Meneses, Eduardo', 'Wang, Johnty', 'Sullivan, John', 'Franco, Ivan', 'Kirkegaard, Mathias S', 'Bredholt, Mathias', 'Rohs, Josh']",Filipe,male,"Birmingham, UK",2020,10,Probatio 1.0: collaborative development of a toolkit for functional DMI prototypes,NIME,Marcelo,male,João,male,Eduardo,male,Johnty,male,John,male,Ivan,male,Mathias,male,Mathias,male,Josh,male,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.99,,,,,,,,
"['West, Travis J', 'Wanderley, Marcelo', 'Caramiaux, Baptiste']",Travis,male,"Birmingham, UK",2020,3,Making Mappings: Examining the Design Process,NIME,Marcelo,male,Baptiste,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Sidler, Michael', 'Bisson, Matthew C', 'Grotz, Jordan', 'Barton, Scott']",Michael,male,"Birmingham, UK",2020,4,Parthenope: A Robotic Musical Siren,NIME,Matthew,male,Jordan,male,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.97,0.99,,,,,,,,,,,,,,
"['Kemper, Steven']",Steven,male,"Birmingham, UK",2020,1,Tremolo-Harp: A Vibration-Motor Actuated Robotic String Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Kobayashi, Atsuya', 'Anzai, Reo', 'Tokui, Nao']",Atsuya,male,"Birmingham, UK",2020,3,ExSampling: a system for the real-time ensemble performance of field-recorded environmental sounds,NIME,Reo,male,Nao,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.91,0.6,,,,,,,,,,,,,,,
"['Yepez Placencia, Juan Pablo', 'Murphy, Jim', 'Carnegie, Dale']",Juan,male,"Birmingham, UK",2020,3,Designing an Expressive Pitch Shifting Mechanism for Mechatronic Chordophones,NIME,Jim,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.93,,,,,,,,,,,,,,,
"['Ehrhardt, Marcel', 'Neupert, Max', 'Wegener, Clemens']",Marcel,male,"Birmingham, UK",2020,3,Piezoelectric strings as a musical interface,NIME,Max,male,Clemens,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Ilsar, Alon A', 'Hughes, Matthew', 'Johnston, Andrew']",Alon,male,"Birmingham, UK",2020,3,NIME or Mime: A Sound-First Approach to Developing an Audio-Visual Gestural Instrument,NIME,Matthew,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.0,0.99,,,,,,,,,,,,,,,
"['Hughes, Matthew', 'Johnston, Andrew']",Matthew,male,"Birmingham, UK",2020,2,URack: Audio-visual Composition and Performance using Unity and VCV Rack,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Wicaksono, Irmandy', 'Paradiso, Joseph']",Irmandy,None,"Birmingham, UK",2020,2,KnittedKeyboard: Digital Knitting of Electronic Textile Musical Controllers,NIME,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,,,,,,,,,,,,,,,,
"['Capra, Olivier', 'Berthaut, Florent', 'Grisoni, Laurent']",Olivier,male,"Birmingham, UK",2020,3,A Taxonomy of Spectator Experience Augmentation Techniques,NIME,Florent,male,Laurent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Sen, Sourya', 'Tahiroğlu, Koray', 'Lohmann, Julia']",Sourya,female,"Birmingham, UK",2020,3,Sounding Brush: A Tablet based Musical Instrument for Drawing and Mark Making,NIME,Koray,male,Julia,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.97,0.97,,,,,,,,,,,,,,,
"['Tahiroğlu, Koray', 'Kastemaa, Miranda', 'Koli, Oskar']",Koray,male,"Birmingham, UK",2020,3,Al-terity: Non-Rigid Musical Instrument with Artificial Intelligence Applied to Real-Time Audio Synthesis,NIME,Miranda,female,Oskar,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.95,0.99,,,,,,,,,,,,,,,
"['Kiefer, Chris', 'Overholt, Dan', 'Eldridge, Alice']",Chris,male,"Birmingham, UK",2020,3,Shaping the behaviour of feedback instruments with complexity-controlled gain dynamics,NIME,Dan,male,Alice,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.95,0.98,,,,,,,,,,,,,,,
"['Williams, Duncan A.H.']",Duncan,male,"Birmingham, UK",2020,1,MINDMIX: Mapping of brain activity to congruent audio mixing features,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['DeSmith, Marcel O', 'Piepenbrink, Andrew', 'Kapur, Ajay']",Marcel,male,"Birmingham, UK",2020,3,SQUISHBOI: A Multidimensional Controller for Complex Musical Interactions using Machine Learning,NIME,Andrew,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Bryan-Kinns, Nick', 'ZIJIN, LI', 'Sun, Xiaohua']",Nick,male,"Birmingham, UK",2020,3,On Digital Platforms and AI for Music in the UK and China,NIME,LI,female,Xiaohua,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.63,0.57,,,,,,,,,,,,,,,
"['Chu, Jean', 'Choi, Jaewon']",Jean,male,"Birmingham, UK",2020,2,Reinterpretation of Pottery as a Musical Interface,NIME,Jaewon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.83,,,,,,,,,,,,,,,,
"['Eskildsen, Anders', 'Walther-Hansen, Mads']",Anders,male,"Birmingham, UK",2020,2,Force dynamics as a design framework for mid-air musical interfaces,NIME,Mads,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Nyström, Erik']",Erik,male,"Birmingham, UK",2020,1,Intra-Actions: Experiments with Velocity and Position in Continuous Controllers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Leonard, James', 'Giomi, Andrea']",James,male,"Birmingham, UK",2020,2,Towards an Interactive Model-Based Sonification of Hand Gesture for Dance Performance,NIME,Andrea,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.62,,,,,,,,,,,,,,,,
"['Vieira, Romulo A', 'Schiavoni, Flávio Luiz']",Romulo,male,"Birmingham, UK",2020,2,Fliperama: An affordable Arduino based MIDI Controller,NIME,Flávio,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.0,,,,,,,,,,,,,,,,
"['MacLean, Alex']",Alex,male,"Birmingham, UK",2020,1,Immersive Dreams: A Shared VR Experience,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,
"['Bryan-Kinns, Nick', 'ZIJIN, LI']",Nick,male,"Birmingham, UK",2020,2,ReImagining: Cross-cultural Co-Creation of a Chinese Traditional Musical Instrument with Digital Technologies,NIME,LI,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.63,,,,,,,,,,,,,,,,
"['Vasilakos, Konstantinos n/a', 'Wilson, Scott', 'McCauley, Thomas', 'Yeung, Tsun Winston', 'Margetson, Emma', 'Khosravi Mardakheh, Milad']",Konstantinos,male,"Birmingham, UK",2020,6,Sonification of High Energy Physics Data Using Live Coding and Web Based Interfaces.,NIME,Scott,male,Thomas,male,Tsun,male,Emma,female,Milad,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.92,0.93,0.97,,,,,,,,,,,,
"['Takase, Haruya', 'Shiramatsu, Shun']",Haruya,male,"Birmingham, UK",2020,2,Support System for Improvisational Ensemble Based on Long Short-Term Memory Using Smartphone Sensor,NIME,Shun,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.92,,,,,,,,,,,,,,,,
"['Tsiros, Augoustinos', 'Palladini, Alessandro']",Augoustinos,male,"Birmingham, UK",2020,2,Towards a Human-Centric Design Framework for AI Assisted Music Production,NIME,Alessandro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Rodger, Matthew', 'Stapleton, Paul', 'van Walstijn, Maarten', 'Ortiz, Miguel', 'Pardue, Laurel S']",Matthew,male,"Birmingham, UK",2020,5,"What Makes a Good Musical Instrument? A Matter of Processes, Ecologies and Specificities ",NIME,Paul,male,Maarten,male,Miguel,male,Laurel,female,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,0.99,0.61,,,,,,,,,,,,,
"['Martin, Charles Patrick', 'Liu, Zeruo', 'Wang, Yichen', 'He, Wennan', 'Gardner, Henry']",Charles,male,"Birmingham, UK",2020,5,Sonic Sculpture: Activating Engagement with Head-Mounted Augmented Reality,NIME,Zeruo,None,Yichen,male,Wennan,male,Henry,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.0,0.6,1.0,0.98,,,,,,,,,,,,,
"['Santini, Giovanni ']",Giovanni,male,"Birmingham, UK",2020,1,Augmented Piano in Augmented Reality,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Davis, Tom', 'Reid, Laura']",Tom,male,"Birmingham, UK",2020,2,Taking Back Control: Taming the Feral Cello,NIME,Laura,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Jaccard, Thibault', 'Lieck, Robert', 'Rohrmeier, Martin']",Thibault,male,"Birmingham, UK",2020,3,AutoScale: Automatic and Dynamic Scale Selection for Live Jazz Improvisation,NIME,Robert,male,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Hayes, Lauren', 'Marquez-Borbon, Adnan']",Lauren,female,"Birmingham, UK",2020,2,Nuanced and Interrelated Mediations and Exigencies (NIME): Addressing the Prevailing Political and Epistemological Crises,NIME,Adnan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.97,,,,,,,,,,,,,,,,
"['McPherson, Andrew', 'Lepri, Giacomo']",Andrew,male,"Birmingham, UK",2020,2,Beholden to our tools: negotiating with technology while sketching digital instruments,NIME,Giacomo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Martelloni, Andrea', 'McPherson, Andrew', 'Barthet, Mathieu']",Andrea,male,"Birmingham, UK",2020,3,Percussive Fingerstyle Guitar through the Lens of NIME: an Interview Study,NIME,Andrew,male,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.99,0.99,,,,,,,,,,,,,,,
"['Jack, Robert', 'Harrison, Jacob', 'McPherson, Andrew']",Robert,male,"Birmingham, UK",2020,3,Digital Musical Instruments as Research Products,NIME,Jacob,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Patel, Amit D', 'Richards, John ']",Amit,male,"Birmingham, UK",2020,2,Pop-up for Collaborative Music-making,NIME,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Reed, Courtney', 'McPherson, Andrew']",Courtney,female,"Birmingham, UK",2020,2,Surface Electromyography for Direct Vocal Control,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.99,,,,,,,,,,,,,,,,
"['von Coler, Henrik', 'Lepa, Steffen', 'Weinzierl, Stefan']",Henrik,male,"Birmingham, UK",2020,3,User-Defined Mappings for Spatial Sound Synthesis,NIME,Steffen,male,Stefan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.98,,,,,,,,,,,,,,,
"['Proctor, Rohan', 'Martin, Charles Patrick']",Rohan,male,"Birmingham, UK",2020,2,A Laptop Ensemble Performance System using Recurrent Neural Networks,NIME,Charles,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Brizolara, Tiago', 'Gibet, Sylvie', 'Larboulette, Caroline ']",Tiago,male,"Birmingham, UK",2020,3,Elemental: a Gesturally Controlled System to Perform Meteorological Sounds,NIME,Sylvie,female,Caroline,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.98,,,,,,,,,,,,,,,
"['Erdem, Çağrı', 'Jensenius, Alexander Refsum']",Çağrı,None,"Birmingham, UK",2020,2,RAW: Exploring Control Structures for Muscle-based Interaction in Collective Improvisation,NIME,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,,,,,,,,,,,,,,,,
"['MacDonald, Travis C', 'Hughes, James', 'MacKenzie, Barry']",Travis,male,"Birmingham, UK",2020,3,SmartDrone: An Aurally Interactive Harmonic Drone,NIME,James,male,Barry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.97,,,,,,,,,,,,,,,
"['Martinez Avila, Juan  P', 'Tsaknaki, Vasiliki', 'Karpashevich, Pavel', 'Windlin, Charles', 'Valenti, Niklas', 'Höök, Kristina', 'McPherson, Andrew', 'Benford, Steve']",Juan,male,"Birmingham, UK",2020,8,Soma Design for NIME,NIME,Vasiliki,female,Pavel,male,Charles,male,Niklas,male,Kristina,female,Andrew,male,Steve,male,,,,,,,,,,,,,,,,,,,0.98,0.97,0.98,0.99,1.0,0.98,0.99,0.99,,,,,,,,,,
"['Cadavid, Laddy P']",Laddy,female,"Birmingham, UK",2020,1,Knotting the memory//Encoding the Khipu_: Reuse of an ancient Andean device as a NIME ,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,
"['Knotts, Shelly', 'Collins, Nick']",Shelly,female,"Birmingham, UK",2020,2,A survey on the uptake of Music AI Software,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.98,,,,,,,,,,,,,,,,
"['Barton, Scott']",Scott,male,"Birmingham, UK",2020,1,Circularity in Rhythmic Representation and Composition,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Magnusson, Thor']",Thor,male,"Birmingham, UK",2020,1,Instrumental Investigations at Emute Lab,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Venkatesh, Satvik', 'Braund, Edward', 'Miranda, Eduardo']",Satvik,male,"Birmingham, UK",2020,3,Composing Popular Music with Physarum polycephalum-based Memristors,NIME,Edward,male,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,,,,,,,,,,,,,,,
"['Camara Halac, Fede', 'Addy, Shadrick']",Fede,male,"Birmingham, UK",2020,2,PathoSonic: Performing Sound In Virtual Reality Feature Space,NIME,Shadrick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,1.0,,,,,,,,,,,,,,,,
